cell,type
MGH45_P6_C11,tumor
MGH45_P6_C12,tumor
MGH45_P6_D02,tumor
MGH45_P6_D05,tumor
MGH45_P6_D06,tumor
MGH45_P6_D07,tumor
MGH45_P6_D08,tumor
MGH45_P6_D09,tumor
MGH45_P6_D11,tumor
MGH45_P6_E01,tumor
MGH45_P6_E02,tumor
MGH45_P6_E05,tumor
MGH45_P6_E06,tumor
MGH45_P6_E09,tumor
MGH45_P6_E10,tumor
MGH45_P6_F06,tumor
MGH45_P6_F10,tumor
MGH45_P6_F11,tumor
MGH45_P6_F12,tumor
MGH45_P6_G01,tumor
MGH45_P6_G02,tumor
MGH45_P6_G04,tumor
MGH45_P6_G08,tumor
MGH45_P6_G10,tumor
MGH45_P6_G12,tumor
MGH45_P6_H01,tumor
MGH45_P6_H03,tumor
MGH45_P6_H07,tumor
MGH45_P6_H08,tumor
MGH45_P6_H09,tumor
MGH45_P6_H11,tumor
MGH45_P1_A01,tumor
MGH45_P1_A04,tumor
MGH45_P1_A09,tumor
MGH45_P1_A10,tumor
MGH45_P1_B01,tumor
MGH45_P1_B04,tumor
MGH45_P1_B07,tumor
MGH45_P1_B12,tumor
MGH45_P1_C02,tumor
MGH45_P1_C04,tumor
MGH45_P1_C05,tumor
MGH45_P1_C08,tumor
MGH45_P1_C09,tumor
MGH45_P1_C10,tumor
MGH45_P1_C11,tumor
MGH45_P1_D02,tumor
MGH45_P1_D05,tumor
MGH45_P1_D06,tumor
MGH45_P1_D07,tumor
MGH45_P1_D08,tumor
MGH45_P1_D10,tumor
MGH45_P1_D12,tumor
MGH45_P1_E02,tumor
MGH45_P1_E04,tumor
MGH45_P1_E07,tumor
MGH45_P1_E08,tumor
MGH45_P1_E11,tumor
MGH45_P1_E12,tumor
MGH45_P1_F01,tumor
MGH45_P1_F02,tumor
MGH45_P1_F03,tumor
MGH45_P1_F05,tumor
MGH45_P1_F06,tumor
MGH45_P1_F09,tumor
MGH45_P1_F10,tumor
MGH45_P1_F11,tumor
MGH45_P1_G01,tumor
MGH45_P1_G02,tumor
MGH45_P1_G03,tumor
MGH45_P1_G05,tumor
MGH45_P1_G07,tumor
MGH45_P1_G09,tumor
MGH45_P1_G10,tumor
MGH45_P1_G11,tumor
MGH45_P1_G12,tumor
MGH45_P1_H01,tumor
MGH45_P1_H03,tumor
MGH45_P1_H05,tumor
MGH45_P1_H07,tumor
MGH45_P1_H12,tumor
MGH45_P4_A03,nonTumor
MGH45_P4_A04,nonTumor
MGH45_P4_B04,nonTumor
MGH45_P4_B10,nonTumor
MGH45_P4_C01,nonTumor
